epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
51,5740.49,0.50468,0.55635,0.6793,0.94999,0,0.74288,0.83824,0.84509,0.79124,0.74047,0.83864,0.84232,0.72771,0.36022,0.42404,0.60468,0.84789,0,0.000505,0.000505,0.000505
52,7859.22,0.49627,0.55038,0.66349,0.94575,0,0.76738,0.83499,0.85348,0.80327,0.76738,0.83499,0.85002,0.7336,0.33794,0.42002,0.57094,0.83951,0,0.0004951,0.0004951,0.0004951
53,10023.3,0.49716,0.56997,0.65813,0.94741,0,0.79704,0.83068,0.85928,0.80839,0.79605,0.82281,0.85494,0.74299,0.33537,0.43027,0.55312,0.83741,0,0.0004852,0.0004852,0.0004852
54,12233.8,0.49826,0.55996,0.66039,0.94515,0,0.74308,0.84631,0.84882,0.79976,0.74116,0.84538,0.84498,0.73438,0.33049,0.41214,0.57985,0.82756,0,0.0004753,0.0004753,0.0004753
55,14294.3,0.49427,0.555,0.6458,0.94472,0,0.73722,0.86231,0.85069,0.79957,0.73872,0.85977,0.84647,0.73259,0.34088,0.41685,0.56938,0.83693,0,0.0004654,0.0004654,0.0004654
56,16387.6,0.48543,0.52606,0.64358,0.93835,0,0.77123,0.83974,0.85758,0.80981,0.7702,0.83098,0.85396,0.74436,0.32836,0.41639,0.54288,0.83414,0,0.0004555,0.0004555,0.0004555
57,18525.2,0.4877,0.53079,0.64815,0.94084,0,0.73964,0.84036,0.84601,0.79573,0.73844,0.83804,0.84279,0.73151,0.3346,0.41469,0.58214,0.83668,0,0.0004456,0.0004456,0.0004456
58,20676.5,0.49574,0.53821,0.64144,0.95006,0,0.80638,0.78964,0.8482,0.80063,0.80691,0.79169,0.84549,0.73767,0.33196,0.41713,0.56612,0.82842,0,0.0004357,0.0004357,0.0004357
59,22784.8,0.48253,0.53566,0.62909,0.93991,0,0.76737,0.83983,0.85729,0.81065,0.76757,0.83929,0.85519,0.74258,0.33507,0.42258,0.5504,0.83236,0,0.0004258,0.0004258,0.0004258
60,24840.1,0.48045,0.52449,0.63176,0.93796,0,0.79193,0.83614,0.86442,0.81635,0.79193,0.83614,0.86129,0.74545,0.32822,0.43073,0.54882,0.82627,0,0.0004159,0.0004159,0.0004159
